"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"896","TOP-GEL MCA Extra Pearl Cream","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"897","TOP-GEL MCA Extra Pearl Cream Plus Complex Vit. C & E - 1208","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin, Merkuri / raksa (Hg)","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"898","TOP-GEL TG-3 Extra Pearl Cream","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"899","TOPSYNE Aloe Beauty Cream (TS-858)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"900","TOPSYNE Beauty Cream (TS-3)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"901","TOPSYNE Beauty Cream (TS-802)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"902","TOPSYNE Beneficial Skin Cream (TS-868)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"903","TOPSYNE Extra Beauty Cream (TS-821)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"904","TOPSYNE Extra Whitening Cream Vitamin C & Placenta","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"905","TOPSYNE Whitening Cream Vitamin E & C (TS-819)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"906","TOPSYNE Whitening Day Cream & Whitening Night Cream","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"907","TP 706 Hand Sanitiser 500 ML","-","Kadar asetaldehid dan methanol melebihi batas","Topseller Pte Ltd Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"908","TULL JYE Bleaching Cream Shian tzy A","-","Hidrokinon","Senshido Co. Ltd., Kaohsiung, Taiwan","PW.2010"
"909","TULL JYE Bleaching Cream Shian tzy B","-","Hidrokinon","Senshido Co. Ltd., Kaohsiung, Taiwan","PW.2010"
"910","Ubersuave Classic Pomade","-","i. Metilisotiazolinon 7.27 ppm ii. Metilkloroisitiazolinon 5.73 ppm","SGPomades Trading Pte Ltd/ China","HM.01.1.2.10.21.49 (13/10/2021)"
"911","UBERSUAVE Texturing Matte","-","i. Metilkloroisitiazolinon 24.05 ppm  ii. Metilisotiazolinon at 9.54 ppm","SGPomades Trading Pte Ltd/China","HM.01.1.2.10.21.49 (13/10/2021)"
"912","ULTIMATE SZAVA Acnes Cream","NA18140102266","Klindamisin","PT Alfa Omega Mulia Abadi  Distribusikan : PT. Gama M","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"913","VAMPIRE Moisten Skin Whitening Day Cream Beautylicious - Gold Label","NA18150102904","Merkuri / raksa (Hg)","Cressindo Kusuma","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"914","VAYALA Daily Cream","-","Merkuri/ raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"915","VAYALA Nightly Cream","-","Merkuri/ raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"916","VAYALA Sabun Transparan","-","Merkuri/ raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"917","VICTORIA","-","Timbal","-","HM.01.1.2.10.21.49 (13/10/2021)"
"918","VITAMIN Pemutih Kecantikan","-","Merkuri/ raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"919","VSL Beauty Care Toner A","-","Hidrokinon","QEMRICH SDN. BHD., Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"920","VSL Beauty Care Toner B","-","Hidrokinon","QEMRICH SDN. BHD., Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"921","Walch","-","Kadar asetaldehid dan methanol melebihi batas","Whealthfields Lohmann (S) Pte Ltd","HM.01.1.2.10.21.49 (13/10/2021)"
"922","WALET Krim (Day Cream Small)","-","Merkuri/ raksa (Hg)","""Herbal Clinic """"Green Alvina""""""","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"923","WASESA Smile Beauty Cream with UV Filter (Day Cream)","CD 1101702161 (No. Pendaftaran telah dibatalkan)","Hidrokinon","UD. Ekos Jaya","PW.2010"
"924","WASESA Stick Foundation","CD 0902700845L (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merkuri/ raksa (Hg)","UD. Ekos Jaya","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"925","We11 Daily Instant Hand Sanitiser","-","Kadar asetaldehid dan methanol melebihi batas","Bitsy Pte Ltd Manufactured in Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"926","White Jade Paerls Paste Moisture & Health","-","Merkuri / raksa (Hg)","Taiwan","KH.00.01.3352 (07/09/2006)"
"927","WIDYA Day Cream Curcuma","NA 18140102891","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"928","WIDYA Night Cream Curcuma","NA 18140102892","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"929","Xian Li Cream Putih & (kuning ) Pot Plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"930","XTM Style Homme - For Men Easy Stick Concealer (2.2g)","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"931","Ya Shang 5 in 1 Lip Gloss, Eye Shadow, Mascara, Blush,Powder Cake No. 02000","-","Merah K10 (Rhodamin B)","Chaoyang Liangguan (Grup) Co. Ltd., Guangdong - China","KH.00.01.3352 (07/09/2006)"
"932","Ya Shang 5 in 1 Lip Gloss, Eye Shadow, Mascara, Blush,Powder Cake No. 02636","-","Merah K10 (Rhodamin B)","Chaoyang Liangguan (Grup) Co. Ltd., Guangdong - China","KH.00.01.3352 (07/09/2006)"
"933","Ya Shang Moistening Lipstick (No. 4,6,7,8,11,12,14)","-","Merah K3 (CI Pigment Red 53)","Chaoyang Liangguan (Grup) Co. Ltd., Guangdong - China","KH.00.01.3352 (07/09/2006)"
"934","Ya Shang VITA MINE French Science (No. 4,5,8,9,10,13)","-","Merah K3 (CI Pigment Red 53)","Chaoyang Liangguan (Grup) Co. Ltd., Guangdong - China","KH.00.01.3352 (07/09/2006)"
"935","Ya Shang Water Shine Diamond Lipstick (No. 341,353,360)","-","Merah K3 (CI Pigment Red 53)","Chaoyang Liangguan (Grup) Co. Ltd., Guangdong - China","KH.00.01.3352 (07/09/2006)"
"936","Yen Lye YL II Day Cream","CL.1009213561 (No. Pendaftaran Palsu)","Merkuri / raksa (Hg)","Yu Lin Co. Ltd., Taiwan","KH.00.01.3352 (07/09/2006)"
"937","Yi Fuli Day dan Night Cream","CL.1006890202 (No. Pendaftaran Palsu)","Merkuri / raksa (Hg)","","KH.00.01.3352 (07/09/2006)"
"938","Yifuli Meibai Quban Huican Su","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"939","Yifuli Texiao Zengbai Qubanwang","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"940","Yoko Whitening Cream / pot plastik","-","Merkuri / raksa (Hg)","Siam Yokom Co.LTD","KH.00.01.432.6081 (01/08/2007)"
"941","YOUGEE Phytones Hair Color Cream 4.11","-","Ditemukan p-fenilendiamin 0,242% b/b yang tidak teridentifikasi pada notifikasi (produk palsu)","Guangzhou Colornow Cosmetic Co., Ltd., China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"942","ZARD Nail Polish 7 mL (104)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18151500164; NA18151500162; NA18151500156; NA18151500161; NA18151500160; NA18151500159; NA18151500165; NA","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"943","ZARD Nail Polish 7 mL (108)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18151500164; NA18151500162; NA18151500156; NA18151500161; NA18151500160; NA18151500159; NA18151500165; NA","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"944","ZARD Nail Polish 7 mL (134)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18151500164; NA18151500162; NA18151500156; NA18151500161; NA18151500160; NA18151500159; NA18151500165; NA","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"945","ZARD Nail Polish 7 mL (51)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18151500164; NA18151500162; NA18151500156; NA18151500161; NA18151500160; NA18151500159; NA18151500165; NA","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"946","ZARD Nail Polish 7 mL (628)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18151500164; NA18151500162; NA18151500156; NA18151500161; NA18151500160; NA18151500159; NA18151500165; NA","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"947","Zuya Skincare Night Treatment A Cream","-","Merkuri / raksa (Hg)","Thailand","HM.01.1.2.10.21.49 (13/10/2021)"
