"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"60","Balleza SKINCARE NIGHT CREAM","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"61","Balleza SKINCARE TREATMENT","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"62","Bang Gan Jing Qu Ban Shuang No.1 Cream / Pot Plastik 20 gr","-","Merkuri / raksa (Hg)","Shenzhen Jiachuntang Cosmetics Co LTD.,China","KH.00.01.432.6081 (01/08/2007)"
"63","Bang Gan Jing Qu Ban Shuang No.2 Cream / Pot Plastik 20 gr","-","Merkuri / raksa (Hg)","Shenzhen Jiachuntang Cosmetics Co LTD.,China","KH.00.01.432.6081 (01/08/2007)"
"64","Bao Fu Ling Skincare Cream","-","Diphenhydramine","Yantai Baofuling Biotechnology Co., Ltd., China","HM.01.1.4.01.20.02 (01/07/2020)"
"65","Bao Fu Ling Snow Lotus Cream 15g","-","Diphenhydramine","Beijing Bao Shu Tang Sci-Tech Pharmaceutical Co., Ltd. China","HM.01.1.4.01.20.02 (01/07/2020)"
"66","BAOLISHI Eye Shadow","-","Merah K10 (Rhodamin B)","Baolishi Group, Hongkong","KH.00.01.432.6147 (26/11/2008)"
"67","BAOLISHI Lipstick No. 20 (Gold Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"68","BAOLISHI Lipstick No.15 (Gold Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"69","BAOLISHI Lipstick No.15 (Yellow Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"70","BAOLISHI Lipstick No.20 (Gold Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"71","BAOLISHI Lipstick No.20 (Green Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"72","BAOLISHI Lipstick No.20 (Red Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"73","BAOLISHI Lipstick No.20 (Yellow Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"74","BAOLISHI Lipstick No.25","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"75","BAOLISHI Lipstick No.33","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"76","BARBAPAPA Long Lasting Eye Brow Pencil No. A1","-","Senyawa antimon","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"77","BARBAPAPA Long Lasting Eye Brow Pencil No. A2","-","Senyawa antimon","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"78","BARBAPAPA Long Lasting Eye Brow Pencil No. A3","-","Senyawa antimon","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"79","Batrisya Beauty Kunyit Kemboja Skincare 4 in 1 P.U.T.I.H K.E.K.A.L Krim 1 Kunyit Kemboja","-","Merkuri / raksa (Hg)","Batrisya Beauty","HM.01.1.4.01.20.02 (01/07/2020)"
"80","BB GLOW SOUL CREAM","-","Asam Retinoat / Tretinoin, Hidrokinon","-","HM.01.1.2.10.21.49 (13/10/2021)"
"81","Beauch (hijau)","-","Asam Retinoat / Tretinoin","Beauch","HM.01.1.2.10.21.49 (13/10/2021)"
"82","Beauch (pink)","-","Asam Retinoat / Tretinoin","Beauch","HM.01.1.2.10.21.49 (13/10/2021)"
"83","BEAUTÃ©DERM Underarm Peeling Cream","-","Hidrokinon","","HM.01.1.4.01.20.02 (01/07/2020)"
"84","BEAUTE' White Perfect White & Firm","-","Merkuri / raksa (Hg)","Pd Coslab (Thailand) Co., Ltd. ., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"85","BEAUTI CUTE LONGWEAR LIPSTICK MATT RUM RASIN","-","Merah K3 (CI Pigment Red 53)","LANXI CAIYUAN COSETIC CO., LTD","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"86","Beauty 3 Night Cream Notification number 10-1-5706532","-","Betamethasone 17-Valerate dan Merkuri / raksa (Hg)","JirakulThanun Co. Ltd., Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"87","BEAUTY G Day Cream","NA47150101401","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"88","BEAUTY GIRLS Pearl Cream","NA47150101660","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"89","Beauty Sleep Nite Cream","-","Merkuri / raksa (Hg)","China","HM.01.1.2.10.21.49 (13/10/2021)"
"90","Beauty Sleep Treatment Cream","-","Asam Retinoat / Tretinoin","China","HM.01.1.2.10.21.49 (13/10/2021)"
"91","BEAUTYLINE Lipstick 201 Irish Rose","NA18141300567","Merah K3 (CI Pigment Red 53)","PT. BEAUTYLINK","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"92","BEAUTYLINE Lipstick 202 Natural Pink","NA18141300559","Merah K3 (CI Pigment Red 53)","PT. BEAUTYLINK","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"93","BEAUTYLINE Lipstick 301 Cherry Red","NA18141300542","Merah K3 (CI Pigment Red 53)","PT. BEAUTYLINK","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"94","BEAUTYLINE Lipstick 302 Xtreme Red","NA18141300557","Merah K3 (CI Pigment Red 53)","PT. BEAUTYLINK","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"95","Beautywise Rejuvenating Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","Philiphina","HM.01.1.2.10.21.49 (13/10/2021)"
"96","Beautywise Rejuvenating Toner","-","Asam Retinoat / Tretinoin, Hidrokinon","Philiphina","HM.01.1.2.10.21.49 (13/10/2021)"
"97","BEAUVRYS Color Cream 5-5","NA 11121002737","Merah K10 (Rhodamin B)","Xiamen Dancoly Cosmetics Co., Ltd., China Diimpor oleh CV. Indah Mulia Abadi","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"98","Bedak Racikan �E� Cream Pagi","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"99","BEEN PINK Whitening Night Cream","NA 18130101800","Merkuri / raksa (Hg)","PT. Joya Hougan Lestari untuk CV. Medcos Abadi","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"100","BeQuaLa Beauty Quality Lab Notification number 10-1-5944991","-","Betamethasone 17-valerate, Clobetasol propionate dan Merkuri / raksa (Hg)","Aiem Prof Skin Care Co. Ltd., Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"101","BICHUN Nail Polish 20","NA11141500794","Merah K3 (CI Pigment Red 53)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"102","BIO-K Sulf Anti Acne Cream","NA 18130103207","Steroid Triamsinolon Asetonida","PT. Bio Kusuma Pharmaceutical","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"103","BIOAHA Triclosan Acne Cream","CD 1008600965 (No. Pendaftaran telah dibatalkan)","Asam Retinoat / Tretinoin","PT. Rama Mulia Cosmetic","PW.2010"
"104","BIOCLINIC Night Cream","NA47140101141","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"105","BIOGOLD Day Cream","NA18130102924","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"106","BIOGOLD Night Cream","NA18130102923","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"107","Black Monster - Black Erasing Pen (2.2g)","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"108","BLOOMING HEALTH + BEAUTY","-","Asam Retinoat / Tretinoin, Hidrokinon","Top Derma Innovators Inc, Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"109","BLOSSOM Day Cream","-","Merkuri / raksa (Hg)","","KH.00.01.432.6147 (26/11/2008)"
"110","BLOSSOM Night Cream","-","Merkuri / raksa (Hg)","","KH.00.01.432.6147 (26/11/2008)"
"111","BON BON LIQUID MATTER LIP 01 PEACHY PEACH","-","Merah K3 (CI Pigment Red 53)","SHENZHEN SAXIMAN MAKEUP CO., LTD","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"112","Boo jin Brightening Day & Night Cream","-","Merkuri / raksa (Hg)","EROS Ltd.,Part. 77/12 Soi Pracha Uthit 75, Thung Khru Subdistrict, Thung Khru","HM.01.1.2.10.21.49 (13/10/2021)"
"113","Botaya Herb Nourishing Skin Care Set","-","Merkuri / raksa (Hg)","Jetanipat Anes, Thailand","HM.01.1.2.10.21.49 (13/10/2021)"
"114","BQF","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"115","BRIGHTEST SKIN ESSENTIALS","-","Asam Retinoat / Tretinoin","Philiphina","HM.01.1.2.10.21.49 (13/10/2021)"
"116","BRIGHTEST SKIN ESSENTIALS","-","Asam Retinoat / Tretinoin, Hidrokinon","Philiphina","HM.01.1.2.10.21.49 (13/10/2021)"
"117","Brilliant Skin","-","Hidrokinon","Brilliant Skin Essentials Inc. Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"118","Brilliant Skin","-","Asam Retinoat / Tretinoin","Brilliant Skin Essentials Inc. Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"119","BRILLIANT SKIN ESSENTIALS","-","Hidrokinon","Brilliant Skin Essentials, Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"120","Brilliant Skin Essentials Rejuvenating Cream Exfoliant Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"121","Brilliant Skin Essentials Whitening Cream 10g","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"122","Brilliant Skin Essentials Whitening facial toner 60ml","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"123","C.M.1 Cream","-","Merkuri/raksa (Hg)","","PW.2010"
"124","Caike Anti Acarus Pearl Whitening Set-A Pot Plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"125","Cameo Lipstick No. 4 - tabung plastik","-","Merah K10 (Rhodamin B)","Taiwan","KH.00.01.432.6081 (01/08/2007)"
"126","CAMEO Make Up Kit 3 in 1 Two Way Cake & Multi Eye Shadow & Blush","-","Merah K10 (Rhodamin B)","Tailamei Cosmetic Industrial Comp, China","KH.00.01.432.6147 (26/11/2008)"
"127","Cameo makes You Beauty 3 in 1 Complete Make -Up Cream / Pot Plastik","-","Merkuri / raksa (Hg)","Korea","KH.00.01.432.6081 (01/08/2007)"
"128","CAMEO Makes You Beauty Detox 4 in 1 Complete Make Up","-","Merah K10 (Rhodamin B)","Korea","KH.00.01.43.2503 (11/06/2009)"
"129","CANTIK Whitening Vit. E Day Cream","CD 1010266231 (Tanpa Izin Edar (NIE fiktif))","Merkuri/ raksa (Hg)","PD. Lana, Jakarta","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"130","CANTIK Whitening Vit. E Night Cream","CD 1010266231 (Tanpa Izin Edar (NIE fiktif))","Merkuri/ raksa (Hg)","PD. Lana, Jakarta","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"131","CARONNE Beauty Day Cream & Beauty Night Cream","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"132","CARONNE Beauty Whitening Cream (Day Cream)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"133","CARONNE Beauty Whitening Cream (Night Cream)","(Izin Edar Dibatalkan)","Asam Retinoat / Tretinoin","Zenna Chemical Industry Co. Ltd., Distributor: PT. Halimbox Sukses Abadi, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"134","CASANDRA 3D Professional Hair Color Cream Hair Dye Wine Red C-9","(Izin Edar dibatalkan)","Merah K10 (Rhodamin B)","Mengchen Cosmetics Co., Guangzhou City - China, Distributor: UD Fonda Mas, Surabaya","KH.00.01.43.2503 (11/06/2009)"
"135","CASANDRA 3D Professional Hair Color Hair Dye Grape Red C-11","(Tidak Terdaftar/ Mencantumkan NIE Fiktif)","Merah K10 (Rhodamin B)","Mengchen Cosmetics Co., Guangzhou City - China, Distributor: UD Fonda Mas, Surabaya","KH.00.01.43.2503 (11/06/2009)"
"136","Casandra Colorfix Lipstick with Vitamin E. Stick 2,8 g","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"137","CASANDRA Hair Dye","CL 0701401423 (Tanpa Izin Edar (NIE  fiktif))","Merah K10 (Rhodamin B)","PD. Garuda Mas International","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"138","CASANDRA Hair Dye Maroon C-17 (Dus Coklat)","(Tidak Terdaftar/ Mencantumkan NIE Fiktif)","Merah K10 (Rhodamin B)","Mengchen Cosmetics Co., Guangzhou City - China, Distributor: UD Fonda Mas, Surabaya","KH.00.01.43.2503 (11/06/2009)"
"139","CASANDRA Hair Dye Maroon C-17 (Dus Hitam)","(Tidak Terdaftar/ Mencantumkan NIE  Fiktif)","Merah K10 (Rhodamin B)","Mengchen Cosmetics Co., Guangzhou City - China, Distributor: UD Fonda Mas, Surabaya","KH.00.01.43.2503 (11/06/2009)"
"140","CASANDRA Hair Dye Pink C-14","(Izin Edar dibatalkan)","Merah K10 (Rhodamin B)","Mengchen Cosmetics Co., Guangzhou City - China, Distributor: UD Fonda Mas, Surabaya","KH.00.01.43.2503 (11/06/2009)"
"141","CASANDRA Lip Balm Care With Aloe Vera (Strawberry)","NA18201301842 (Dibatalkan)","Sudan III","PT Selamat Makmur","PW.02.04.1.4.10.22.168 (04/10/2022)"
"142","CASANDRA Lip Balm Magic (Orange)","NA18181304153 (Dibatalkan)","Sudan III","PT Selamat Makmur","PW.02.04.1.4.10.22.168 (04/10/2022)"
"143","CASANDRA Lip Balm Magic (Strawberry)","NA18181304152 (Dibatalkan)","Sudan III","PT Selamat Makmur","PW.02.04.1.4.10.22.168 (04/10/2022)"
"144","CASANDRA Superior Quality Lipgloss (No.1,2,3,4,5,6,7,8,9,10,12)","(Izin Edar dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Selamat Makmur, Tangerang","KH.00.01.43.2503 (11/06/2009)"
"145","CASANDRA Superior Quality Lipstick (No.1,2,3,4,5,6,7,8,9,10,12)","(Izin Edar dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Selamat Makmur, Tangerang","KH.00.01.43.2503 (11/06/2009)"
"146","Cath Kidston","-","Kadar asetaldehid dan methanol melebihi batas","Watson's Personal Care Stores Pte Ltd., China","HM.01.1.2.10.21.49 (13/10/2021)"
"147","CATHY DOLL Nude Matte Lipstick #10 Touch Coral","-","Merah K3 (CI Pigment Red 53)","Karmarts Public Company Limited, Thailand,","HM.01.1.2.10.21.49 (13/10/2021)"
"148","CB Come Beauty Super UV Whitening Cream (Krim Pagi)","CL 1004702130 (No. Pendaftaran telah dibatalkan)","Merkuri/raksa (Hg)","PT. Dasen Jaya Lestari","PW.2010"
"149","CB Spesial Whitening Come Beauty Pearl Cream","-","Merkuri / raksa (Hg)","Taiwan","KH.00.01.3352 (07/09/2006)"
"150","Cecily Beauty Cream New Formula","-","Merkuri / raksa (Hg)","","KH.00.01.3352 (07/09/2006)"
"151","CHANLEEVI No. 04","-","Arsen melebihi yang diijinkan (> 5 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"152","Cherry Lipstick","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"153","Cherry Lipstick No. 400","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"154","Cherry Lipstick No. 500","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"155","Cherry Modern No.400 (kuning)","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"156","Chin Chun Su Facial Cream / Pot Plastik","-","Merkuri / raksa (Hg)","Shun Yih Chemistry, Taiwan","KH.00.01.432.6081 (01/08/2007)"
"157","Chiumien Cream","CL. 1010000166 (Nomor dibatalkan)","Merkuri / raksa (Hg)","PT. Citra Usaha Lamindo, Jakarta","KH.00.01.2.3984 (02/09/2004)"
"158","Chiumien Pearl Cream","CL. 1010000164 (Nomor dibatalkan)","Merkuri / raksa (Hg)","PT. Citra Usaha Lamindo, Jakarta","KH.00.01.2.3984 (02/09/2004)"
"159","CHRYSANT 24 Skin Care AHA Toner No. 1","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"160","CHRYSANT 24 Skin Care AHA Toner No. 2","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"161","CHRYSANT 24 Skin Care AHA Toner No. 2+","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"162","CHRYSANT 24 Skin Care Cream Malam Jasmine","-","Merkuri/ raksa (Hg)","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"163","CHRYSANT 24 Skin Care Pemutih Ketiak","-","Hidrokinon","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"164","CITRA Day & Night Cream","-","Merkuri/ raksa (Hg)","Imported by Unilever Singapore Pte. Ltd. Millot Laboratory Co. Ltd., Thailand","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"165","CITRA JELITA Night Cream (Krim Malam)","CA18090104453","Hidrokinon","PT. Citra Jelita","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"166","Clair De Lune - P.Tuberose Day Cream","-","Chloramphenicol, Sulfamethoxazole, Trimethoprim dan Ketoconazole","Hung Choy Cosmetics Manufacturing Co Ltd, Hong Kong.","HM.01.1.4.01.20.02 (01/07/2020)"
"167","Clair De Lune - S.Involucrata Night Cream","-","Chlorpheniramine, Griseofulvin, Metronidazole, Sulfamethoxazole dan Trimethoprim","Hung Choy Cosmetics Manufacturing Co Ltd, Hong Kong.","HM.01.1.4.01.20.02 (01/07/2020)"
"168","CLARIDERM Day Cream","NA 18140102011","Merkuri / raksa (Hg)","","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"169","CLARIDERM Night Cream","NA 18140102010","Merkuri / raksa (Hg)","","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"170","COME BEAUTY Night Cream","NA18150100533","Asam Retinoat / Tretinoin","PT. Dasen Jaya Lestari","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"171","COMETS FRESHY 7 DAYS FRESHY LIP (ORANGE COLOR) (Notification number 10â€2â€6100015248)","-","Merah K3 (CI Pigment Red 53)","GUANGZHOU ODDIS COSMETICS CO., LTD., CHINA","HM.01.1.4.01.20.02 (01/07/2020)"
"172","CONTI Wet Wipes Skin Cleansing Wipes","-","Cemaran mikroba","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"173","Cool Day's Peppermint Instant Hand Sanitizer","-","Kadar asetaldehid dan methanol melebihi batas","Japan Home (Retail) Pte. Ltd. China","HM.01.1.2.10.21.49 (13/10/2021)"
"174","COSMEDIC Cream 4 Pagi Sore","-","Merkuri / raksa (Hg)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"175","COSMEDIC Formula Baru Cream No. 8","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"176","COSMETIC BUFFET BLEACHING CREAM","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"177","COSMETIC BUFFET REJUVENATING TONER","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"178","CR Day Cream with Vit E","(Izin Edar Dibatalkan)","Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"179","CR Lien Hua Bunga Teratai Day Cream","(Izin Edar Dibatalkan)","Hidrokinon, Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"180","CR Lien Hua Bunga Teratai Night Cream","(Izin Edar Dibatalkan)","Hidrokinon, Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"181","CR Racikan LING ZHI Day Cream with Vit. E","(Izin Edar Dibatalkan)","Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"182","CR Racikan LING ZHI Night Cream with Vit. E","(Izin Edar Dibatalkan)","Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"183","CR UV Whitening Day Cream with Vit E","(Izin Edar Dibatalkan)","Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"184","CR UV Whitening Night Cream with Vit. E","(Izin Edar Dibatalkan)","Merkuri / raksa (Hg)","PT. Dunia Sehat Sejahtera, Cilegon","KH.00.01.43.2503 (11/06/2009)"
"185","Cream Farsai Spirulina","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"186","Cream Kuning (malam)","-","Merkuri / raksa (Hg)","Hongkong","KH.00.01.3352 (07/09/2006)"
"187","Cream Malam","-","Merkuri/raksa (Hg)","Apotek Retna","PW.2010"
"188","Cream Malam","-","Merkuri / raksa (Hg)","Lily Cosmetics, Yogyakarta","KH.00.01.432.6147 (26/11/2008)"
"189","Cream Malam","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"190","Cream Malam Prima 1, Dr. Nur Hidayat, SpKK","-","Asam Retinoat / Tretinoin, Hidrokinon","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"191","Cream Mutiara (pagi)","-","Merkuri / raksa (Hg)","Hongkong","KH.00.01.3352 (07/09/2006)"
"192","Cream Pemutih Qf","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"193","Cream Wajah Siang","-","Merkuri/raksa (Hg)","Apotek Retna","PW.2010"
"194","CRESSIDA Eye Shadow","-","Merah K10 (Rhodamin B)","","KH.00.01.432.6147 (26/11/2008)"
"195","CRRANTE Lip Liner","-","Merah K10 (Rhodamin B)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"196","CRYSTAL INFINITY - Pekas Cream","-","Asam Retinoat / Tretinoin","Crystal Infinity Beauty Products Enterprise, Philippines","HM.01.1.2.10.21.49 (13/10/2021)"
"197","Cupid Pearl Cream","CD. 1006890465 (Nomor dibatalkan)","Merkuri / raksa (Hg)","PT. Chrisna Kencana Pratama, Jakarta","KH.00.01.2.3984 (02/09/2004)"
"198","Cuticura Hand Sanitizer","-","Kadar asetaldehid dan methanol melebihi batas","Alphico Marketing Pte Ltd Manufactured for Pro Anchor Sdn Bhd Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"199","D & I COSMETIQUE Night Whitening","NA18150100707","Hidrokinon","PT. Immortal Cosmedika Indonesia Untuk PT Bunda Husada Mandiri","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"200","D`SWISS Night Cream","NA47160101201","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Import by : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"201","DALTON Whitening Care System Essence Concentre","NC 16141900030","Hidrokinon","Kallipareia Cosmetic International GmbH, Jerman Diimpor oleh PT. Radian Elok Distriversa","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"202","Day Cream SJ UV White SIN JUNG","-","Merkuri/ raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"203","Day Cream Vitamin E Herbal","CD.1006600698 (Tidak Terdaftar (Nomor Fiktif))","Merkuri / raksa (Hg)","PT. Locos, Bandung","KH.00.01.432.6147 (26/11/2008)"
"204","DCASH Max SpeedColors Shampoo M2 Natural Dark Brown","-","Ditemukan p-fenilendiamin 2,66% b/b yang tidak teridentifikasi pada notifikasi (produk palsu)","Modern Cass International Cosmetics (Vietnam) Co., Ltd., Vietnam","PW.02.04.1.4.10.22.169 (04/10/2022)"
"205","Deeja Cosmetic","-","Hidrokinon, Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"206","Deeja Cosmetic Keayuan Semula Jadi - Krim Malam (Night)","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"207","Deeja Cosmetic Keayuan Semula Jadi - Krim Nano (Night)","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"208","Deeja Cosmetic Keyuan Semula Jadi Set 5 dalam 1 - Star Cream","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"209","Deeja Cosmetic Laila Cream","-","Betamethasone 17-Valerate dan Merkuri / raksa (Hg)","Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"210","Deeja Cosmetic Star Cream","-","Asam Retinoat / Tretinoin, Hidrokinon","Limajari Marketing Manufactured by Top On Cosmetics Industries, Malaysia","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"211","Deeja Cosmetic Vogue Cream","-","Merkuri / raksa (Hg)","Limajari Marketing Manufactured by Top On Cosmetics Industries, Malaysia","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"212","Deeja Cosmetic Yulai Cream","-","Hidrokinon","Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"213","Deeja Dream Cream","-","Hidrokinon","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"214","Deeja Keayuan Semula Jadi - Day Cream","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"215","Deeja Keayuan Semula Jadi - Wrinkle Cream","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"216","Deeja Krim Nano (Night)","-","Merkuri / raksa (Hg)","Onew Cosmetics Manufactured by Yamni Industries Sdn. Bhd., Malaysia","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"217","Deeja Wrinkle Cream","-","Merkuri / raksa (Hg)","Top On Cosmetics Industries, Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"218","Deluxe Beauty","-","Merkuri / raksa (Hg)","Pakistan","HM.01.1.2.10.21.49 (13/10/2021)"
"219","Deluxe Beauty - Ultra Lightening Cream","-","Merkuri / raksa (Hg)","Luna Group Sdn. Bhd. Manufactured by Royal International, Pakistan","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
